START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
08/11/18,03:05 PM,04:05 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: ABC 7- FS1 ----- Local Radio: 670 The Score",08/11/18,08/11/18,06:05 PM,07:05 PM,FALSE,TRUE,08/11/18,02:05 PM,03:05 PM,FREE,BUSY
08/12/18,,,Nationals at Cubs - Time TBD,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/12/18,08/12/18,,,FALSE,TRUE,08/12/18,,,FREE,BUSY
08/14/18,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/14/18,08/14/18,04:20 PM,05:20 PM,FALSE,TRUE,08/14/18,12:20 PM,01:20 PM,FREE,BUSY
08/15/18,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",08/15/18,08/15/18,04:20 PM,05:20 PM,FALSE,TRUE,08/15/18,12:20 PM,01:20 PM,FREE,BUSY
08/16/18,06:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/16/18,08/16/18,09:05 PM,10:05 PM,FALSE,TRUE,08/16/18,05:05 PM,06:05 PM,FREE,BUSY
08/17/18,06:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/17/18,08/17/18,09:05 PM,10:05 PM,FALSE,TRUE,08/17/18,05:05 PM,06:05 PM,FREE,BUSY
08/18/18,06:05 PM,07:05 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: WGN ----- Local Radio: 670 The Score",08/18/18,08/18/18,09:05 PM,10:05 PM,FALSE,TRUE,08/18/18,05:05 PM,06:05 PM,FREE,BUSY
08/19/18,12:35 PM,01:35 PM,Cubs at Pirates,PNC Park - Pittsburgh,"Local TV: ABC 7 ----- Local Radio: 670 The Score",08/19/18,08/19/18,03:35 PM,04:35 PM,FALSE,TRUE,08/19/18,11:35 AM,12:35 PM,FREE,BUSY
08/21/18,06:10 PM,07:10 PM,Cubs at Tigers,Comerica Park - Detroit,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/21/18,08/21/18,09:10 PM,10:10 PM,FALSE,TRUE,08/21/18,05:10 PM,06:10 PM,FREE,BUSY
08/22/18,06:10 PM,07:10 PM,Cubs at Tigers,Comerica Park - Detroit,"Local TV: WGN ----- Local Radio: 670 The Score",08/22/18,08/22/18,09:10 PM,10:10 PM,FALSE,TRUE,08/22/18,05:10 PM,06:10 PM,FREE,BUSY
08/23/18,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/23/18,08/23/18,10:05 PM,11:05 PM,FALSE,TRUE,08/23/18,06:05 PM,07:05 PM,FREE,BUSY
08/24/18,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",08/24/18,08/24/18,04:20 PM,05:20 PM,FALSE,TRUE,08/24/18,12:20 PM,01:20 PM,FREE,BUSY
08/25/18,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: ABC 7 ----- Local Radio: 670 The Score",08/25/18,08/25/18,04:20 PM,05:20 PM,FALSE,TRUE,08/25/18,12:20 PM,01:20 PM,FREE,BUSY
08/26/18,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",08/26/18,08/26/18,04:20 PM,05:20 PM,FALSE,TRUE,08/26/18,12:20 PM,01:20 PM,FREE,BUSY
08/27/18,07:05 PM,08:05 PM,Mets at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",08/27/18,08/27/18,10:05 PM,11:05 PM,FALSE,TRUE,08/27/18,06:05 PM,07:05 PM,FREE,BUSY
08/28/18,07:05 PM,08:05 PM,Mets at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",08/28/18,08/28/18,10:05 PM,11:05 PM,FALSE,TRUE,08/28/18,06:05 PM,07:05 PM,FREE,BUSY
08/29/18,01:20 PM,02:20 PM,Mets at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score- WRTO 1200",08/29/18,08/29/18,04:20 PM,05:20 PM,FALSE,TRUE,08/29/18,12:20 PM,01:20 PM,FREE,BUSY
08/31/18,06:05 PM,07:05 PM,Cubs at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC Sports Chicago+ ----- Local Radio: 670 The Score",08/31/18,08/31/18,09:05 PM,10:05 PM,FALSE,TRUE,08/31/18,05:05 PM,06:05 PM,FREE,BUSY
